Container ID,Assignment Type,CV /OCD,Dwell,CV Import Date,Vessel Visit ID,CV Delivery Date
MSKU1168268,DLV2H,CV,171,13/09/2025,MNOR528S,3/3/2026
MRSU3509940,INSCOM,CV,172,12/9/2025,MNOR528S,5/11/2025
MRKU6619043,DLVGRD,CV,138,21/08/2025,MCEB521C,6/1/2026
OCGU2091629,OCD,OCD,103,21/08/2025,MCEB521C,1/12/2025
MAEU4201314,OCD,OCD,104,12/8/2025,MASA530W,23/11/2025
MAEU4123654,OCD,OCD,104,12/8/2025,MASA530W,23/11/2025
MAEU4207230,OCD,OCD,103,13/08/2025,MASA530W,23/11/2025
MAEU4207890,OCD,OCD,103,13/08/2025,MASA530W,23/11/2025
MAEU4225975,OCD,OCD,104,12/8/2025,MASA530W,23/11/2025
MSKU7536109,DLVHS,CV,76,2/9/2025,MAVL529C,17/11/2025
MMAU1215040,DLVGRD,CV,51,23/09/2025,MDHA521X,12/11/2025
MNBU9073151,DLVGRD,CV,50,23/09/2025,MDHA521X,12/11/2025
MCAU5001447,DLVGRD,CV,50,23/09/2025,MDHA521X,11/11/2025
MRKU6120877,DLVHS,CV,77,22/08/2025,MCEB521C,7/11/2025
MTSU9614777,DLVHS,CV,38,30/09/2025,MASA532C1,7/11/2025
MRSU7755448,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
MRSU8550798,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
MRSU8544769,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
MRSU8576719,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
CAAU9935360,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
MRSU8181431,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
MRSU8525645,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
MRSU8549971,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
MRSU7675825,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
MRSU8530805,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
MRSU8522353,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
MRSU7263556,OCD,OCD,44,23/09/2025,MDHA521X,6/11/2025
SUDU7364750,DLVGRD,CV,41,24/09/2025,MDHA521X,4/11/2025
MNBU0473183,DLVGRD,CV,41,23/09/2025,MDHA521X,2/11/2025
MNBU0051207,DLVGRD,CV,42,23/09/2025,MDHA521X,3/11/2025
MNBU3306723,DLVGRD,CV,41,23/09/2025,MDHA521X,2/11/2025
BSIU8578754,OCD,OCD,37,23/09/2025,MDHA521X,30/10/2025
BSIU8579339,OCD,OCD,37,23/09/2025,MDHA521X,30/10/2025
XINU8212922,OCD,OCD,30,30/09/2025,MASA532C1,29/10/2025
MNBU0176307,DLVGRD,CV,36,23/09/2025,MDHA521X,29/10/2025
CAAU9792551,OCD,OCD,34,24/09/2025,MDHA521X,28/10/2025
MRSU6011009,OCD,OCD,34,24/09/2025,MDHA521X,28/10/2025
TGBU9252842,OCD,OCD,34,24/09/2025,MDHA521X,28/10/2025
SELU4105649,OCD,OCD,34,23/09/2025,MDHA521X,27/10/2025
MRSU0368853,DLV2H,CV,33,24/09/2025,MDHA521X,27/10/2025
MRSU3869078,OCD,OCD,31,25/09/2025,MDHA521X,26/10/2025
MRKU9558168,OCD,OCD,32,24/09/2025,MDHA521X,26/10/2025
HASU4646973,DLVHS,CV,52,2/9/2025,MAVL529C,24/10/2025
MNBU3248843,DLV2H,CV,23,30/09/2025,MASA532C1,22/10/2025
MNBU4418179,DLV2H,CV,23,30/09/2025,MASA532C1,22/10/2025
TLLU5824431,DLV2H,CV,28,24/09/2025,MDHA521X,22/10/2025
TCNU6280075,DLV2H,CV,39,13/09/2025,MNOR528S,22/10/2025
HASU1186180,OCD,OCD,21,30/09/2025,MASA532C1,21/10/2025
MRKU3055802,DLV2H,CV,39,12/9/2025,MNOR528S,21/10/2025
MSKU3307085,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
MSKU7041136,OCD,OCD,20,30/09/2025,MASA532C1,19/10/2025
MSKU5644470,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
TLLU3569018,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
MSKU4101015,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
MRKU7852620,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
UETU2979564,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
SEKU1560575,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
TIIU2078928,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
MRKU7365494,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
MSKU4158371,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
SUDU7959341,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
MSKU7626476,DLV2H,CV,26,24/09/2025,MDHA521X,20/10/2025
MRKU8155471,OCD,OCD,20,30/09/2025,MASA532C1,19/10/2025
MRSU7647459,DLV2H,CV,61,20/08/2025,MCEB521C,19/10/2025
CAJU5027822,OCD,OCD,24,23/09/2025,MDHA521X,17/10/2025
MRKU3118650,DLV2H,CV,23,24/09/2025,MDHA521X,17/10/2025
HASU1086155,DLV2H,CV,17,30/09/2025,MASA532C1,17/10/2025
MNBU4640648,DLV2H,CV,17,30/09/2025,MASA532C1,16/10/2025
MRKU3460723,DLV2H,CV,33,13/09/2025,MNOR528S,16/10/2025
SUDU7847280,DLVGRD,CV,16,30/09/2025,MASA532C1,16/10/2025
MSKU5811752,OCD,OCD,16,30/09/2025,MASA532C1,15/10/2025
MRKU6248261,OCD,OCD,16,30/09/2025,MASA532C1,15/10/2025
MRKU7962041,OCD,OCD,16,30/09/2025,MASA532C1,15/10/2025
CAIU3315317,OCD,OCD,16,30/09/2025,MASA532C1,15/10/2025
MSKU7382662,OCD,OCD,16,30/09/2025,MASA532C1,15/10/2025
MRKU7523516,OCD,OCD,16,30/09/2025,MASA532C1,15/10/2025
CAAU2510810,DLVGRD,CV,22,24/09/2025,MDHA521X,16/10/2025
MNBU4451578,DLV2H,CV,16,30/09/2025,MASA532C1,15/10/2025
SEKU6967769,DLVCRN,CV,16,30/09/2025,MASA532C1,15/10/2025
MRSU4542900,APPDLV2H,CV,33,12/9/2025,MNOR528S,15/10/2025
UETU6831240,DLVHS,CV,16,30/09/2025,MASA532C1,15/10/2025
MRSU5653370,DLVCRN,CV,16,30/09/2025,MASA532C1,15/10/2025
GAOU7147843,DLVGRD,CV,22,23/09/2025,MDHA521X,15/10/2025
MRKU2353037,DLVGRD,CV,15,30/09/2025,MASA532C1,15/10/2025
MRKU5001810,DLVCRN,CV,16,30/09/2025,MASA532C1,15/10/2025
TCKU6956756,DLVCRN,CV,16,30/09/2025,MASA532C1,15/10/2025
BEAU5104920,DLVCRN,CV,16,30/09/2025,MASA532C1,15/10/2025
MRKU6028014,DLVCRN,CV,16,30/09/2025,MASA532C1,15/10/2025
MRKU8946600,OCD,OCD,15,30/09/2025,MASA532C1,14/10/2025
MRKU6949575,OCD,OCD,15,30/09/2025,MASA532C1,14/10/2025
MRKU9483177,OCD,OCD,15,30/09/2025,MASA532C1,14/10/2025
TCLU1419999,OCD,OCD,15,30/09/2025,MASA532C1,14/10/2025
MSKU7265603,OCD,OCD,15,30/09/2025,MASA532C1,14/10/2025
TEMU1252975,OCD,OCD,15,30/09/2025,MASA532C1,14/10/2025
CAJU5092601,OCD,OCD,13,30/09/2025,MASA532C1,13/10/2025
MRKU2747730,DLVGRD,CV,14,30/09/2025,MASA532C1,14/10/2025
MCAU6039787,DLV2H,CV,14,30/09/2025,MASA532C1,13/10/2025
PONU0636615,OCD,OCD,30,13/09/2025,MNOR528S,13/10/2025
MRKU4279896,OCD,OCD,31,12/9/2025,MNOR528S,13/10/2025
FFAU6692444,OCD,OCD,30,13/09/2025,MNOR528S,13/10/2025
HASU4968408,OCD,OCD,30,13/09/2025,MNOR528S,13/10/2025
MRSU7540584,DLVGRD,CV,20,24/09/2025,MDHA521X,13/10/2025
MRSU3315163,DLVGRD,CV,34,9/9/2025,MCCY518X,13/10/2025
TGBU3751166,DLVGRD,CV,14,30/09/2025,MASA532C1,13/10/2025
TRHU5166591,DLVCRN,CV,20,23/09/2025,MDHA521X,13/10/2025
MRSU7808110,DLVGRD,CV,20,23/09/2025,MDHA521X,13/10/2025
TIIU2262534,DLVGRD,CV,19,24/09/2025,MDHA521X,13/10/2025
MSKU9597021,DLV2H,CV,13,30/09/2025,MASA532C1,13/10/2025
MRSU4384750,DLVGRD,CV,21,23/09/2025,MDHA521X,13/10/2025
MSMU8617021,OCD,OCD,41,2/9/2025,MAVL529C,12/10/2025
SUDU6013956,DLVGRD,CV,20,23/09/2025,MDHA521X,12/10/2025
MSKU5631365,OCD,OCD,12,30/09/2025,MASA532C1,12/10/2025
MSKU7334535,OCD,OCD,12,30/09/2025,MASA532C1,12/10/2025
SUDU1885616,OCD,OCD,12,30/09/2025,MASA532C1,12/10/2025
MRKU8198616,OCD,OCD,12,30/09/2025,MASA532C1,12/10/2025
TLLU2137473,OCD,OCD,12,30/09/2025,MASA532C1,12/10/2025
MRSU4784777,APPDLV2H,CV,19,23/09/2025,MDHA521X,12/10/2025
SUDU8957847,OCD,OCD,11,30/09/2025,MASA532C1,11/10/2025
MSKU7834607,OCD,OCD,11,30/09/2025,MASA532C1,11/10/2025
TIIU2103105,OCD,OCD,17,24/09/2025,MDHA521X,11/10/2025
TIIU2093861,OCD,OCD,17,24/09/2025,MDHA521X,11/10/2025
TIIU2129434,OCD,OCD,17,24/09/2025,MDHA521X,11/10/2025
MRSU0582931,OCD,OCD,17,24/09/2025,MDHA521X,11/10/2025
MRSU0380822,OCD,OCD,17,24/09/2025,MDHA521X,11/10/2025
FTAU2080670,OCD,OCD,17,24/09/2025,MDHA521X,11/10/2025
MRKU6679910,OCD,OCD,11,30/09/2025,MASA532C1,11/10/2025
MMAU1211830,DLVGRD,CV,18,23/09/2025,MDHA521X,11/10/2025
MNBU0113090,DLVGRD,CV,18,23/09/2025,MDHA521X,11/10/2025
MRKU8605218,DLV2H,CV,11,30/09/2025,MASA532C1,11/10/2025
UETU6547825,DLVHS,CV,18,23/09/2025,MDHA521X,11/10/2025
FFAU5362601,DLV2H,CV,17,24/09/2025,MDHA521X,11/10/2025
MRSU7989976,OCD,OCD,32,9/9/2025,MCCY518X,10/10/2025
MRSU8789490,OCD,OCD,31,10/9/2025,MCCY518X,10/10/2025
MRSU8580447,OCD,OCD,30,11/9/2025,MCCY518X,10/10/2025
MRSU8162128,OCD,OCD,32,9/9/2025,MCCY518X,10/10/2025
TLLU5765869,DLVHS,CV,11,30/09/2025,MASA532C1,11/10/2025
MNBU4646815,DLV2H,CV,10,30/09/2025,MASA532C1,10/10/2025
HASU1527184,DLV2H,CV,16,24/09/2025,MDHA521X,10/10/2025
TCLU2762723,DLVGRD,CV,16,24/09/2025,MDHA521X,10/10/2025
TRHU4249095,DLV2H,CV,10,30/09/2025,MASA532C1,10/10/2025
TCKU6519226,DLVHS,CV,10,30/09/2025,MASA532C1,10/10/2025
MRSU6311794,DLV2H,CV,17,23/09/2025,MDHA521X,10/10/2025
SEKU1655222,DLV2H,CV,16,24/09/2025,MDHA521X,10/10/2025
