Date,cv_deliveries
8/12/2025,3
8/13/2025,1
8/14/2025,67
8/15/2025,96
8/16/2025,57
8/17/2025,49
8/18/2025,82
8/19/2025,140
8/20/2025,156
8/21/2025,112
8/22/2025,65
8/23/2025,106
8/24/2025,78
8/25/2025,88
8/26/2025,127
8/27/2025,121
8/28/2025,106
8/29/2025,120
8/30/2025,117
8/31/2025,36
9/1/2025,66
9/2/2025,40
9/3/2025,52
9/4/2025,44
9/5/2025,73
9/6/2025,46
9/7/2025,51
9/8/2025,60
9/9/2025,85
9/10/2025,58
9/11/2025,92
9/12/2025,59
9/13/2025,90
9/14/2025,27
9/15/2025,116
9/16/2025,120
9/17/2025,73
9/18/2025,71
9/19/2025,40
9/20/2025,21
9/21/2025,6
9/22/2025,49
9/23/2025,25
9/24/2025,13
9/25/2025,39
9/26/2025,61
9/27/2025,109
9/28/2025,24
9/29/2025,40
9/30/2025,47
10/1/2025,34
10/2/2025,6
10/3/2025,1
10/4/2025,13
10/5/2025,53
10/6/2025,123
10/7/2025,128
10/8/2025,78
10/9/2025,72
10/10/2025,59
10/11/2025,50
10/12/2025,67
10/13/2025,146
10/14/2025,63
10/15/2025,143
10/16/2025,99
10/17/2025,64
10/18/2025,18
10/19/2025,25
10/20/2025,76
10/21/2025,85
10/22/2025,54
10/23/2025,34
10/24/2025,30
10/25/2025,4
10/26/2025,4
10/27/2025,11
10/28/2025,23
10/29/2025,93
10/30/2025,145
10/31/2025,54
11/1/2025,28
11/2/2025,20
11/3/2025,46
11/4/2025,49
11/5/2025,35
11/6/2025,101
11/7/2025,84
11/8/2025,127
11/9/2025,35
11/10/2025,39
11/11/2025,63
11/12/2025,72
11/13/2025,43
11/14/2025,73
11/15/2025,22
11/16/2025,4
11/17/2025,46
11/18/2025,47
11/19/2025,46
11/20/2025,184
11/21/2025,87
11/22/2025,69
11/23/2025,39
11/24/2025,140
11/25/2025,96
11/26/2025,48
11/27/2025,120
11/28/2025,80
11/29/2025,41
11/30/2025,13
12/1/2025,60
12/2/2025,121
12/3/2025,51
12/4/2025,71
12/5/2025,46
12/6/2025,8
12/7/2025,6
12/8/2025,18
12/9/2025,10
12/10/2025,13
12/11/2025,75
12/12/2025,26
12/13/2025,59
12/14/2025,29
12/15/2025,122
12/16/2025,61
12/17/2025,55
12/18/2025,88
12/19/2025,118
12/20/2025,56
12/21/2025,34
12/22/2025,56
12/23/2025,90
12/24/2025,50
12/25/2025,37
12/26/2025,2
12/27/2025,8
12/28/2025,8
12/29/2025,7
12/30/2025,88
12/31/2025,67
1/1/2026,56
1/2/2026,46
1/3/2026,13
1/4/2026,39
1/5/2026,142
1/6/2026,110
1/7/2026,100
1/8/2026,120
1/9/2026,135
1/10/2026,103
1/11/2026,35
1/12/2026,93
1/13/2026,92
1/14/2026,130
1/15/2026,131
1/16/2026,107
1/17/2026,67
1/18/2026,27
1/19/2026,83
1/20/2026,125
1/21/2026,72
1/22/2026,107
1/23/2026,101
1/24/2026,92
1/25/2026,21
1/26/2026,38
1/27/2026,62
1/28/2026,32
1/29/2026,86
1/30/2026,74
1/31/2026,141
